Date,AAPL,AMZN,GOOGL,JPM,KO,MSFT,NVDA,PG,V
2021-01-05,0.01236393652268264,0.010004358381754175,0.008064278316726625,0.005441324433543171,-0.010993001552971893,0.0009644914698017093,0.022210040404164078,0.006384966375203804,-0.014924736743554434
2021-01-06,-0.03366165000321353,-0.024896614147709384,-0.009867717324684833,0.04695587934431833,-0.03181300477580462,-0.025929286851514632,-0.058953097026854806,0.01052631321673636,-0.008810753024537599
2021-01-07,0.034122930875582824,0.0075771277744003385,0.029868812370187348,0.03283906091618061,-0.01108485783943558,0.028457013111339746,0.057830318161879335,-0.00934629450874136,0.00559673018795559
2021-01-08,0.008631504151924263,0.006495514374673217,0.013238674962537722,0.00110400675912814,0.02241813160149886,0.006092840439678726,-0.005039593375826046,-0.0004321994115960015,0.007670412432702722
2021-01-11,-0.023248714582630226,-0.021519462280005563,-0.023105700850838518,0.014924510519844558,-0.017227740953987825,-0.009698438764543016,0.02596628155770042,-0.0067730341414802275,-0.011882042938298754
2021-01-12,-0.0013956768354403959,0.002125797051401035,-0.010738564964289266,0.01571886786860177,-0.0017930066862227312,-0.011770794416805397,-0.010039164781361798,-0.005803275751628867,-0.018929984935580957
2021-01-13,0.016226778171226197,0.014438406874172749,0.005652103087809168,0.0009269938602018968,0.0009975962277322115,0.006560250805846213,0.003485362936381131,0.0015323493605656768,0.0023460987264745103
2021-01-14,-0.015127044220768382,-0.012135545173177387,-0.009346109300629624,0.005842800397117376,-0.018540413111518328,-0.015346256604536146,-0.02449786582597535,-0.010636744431211431,-0.03577745910176211
2021-01-15,-0.013730768123823234,-0.007424600125642833,-0.001906591287590853,-0.017921808243381077,-0.010765727552482507,-0.0017367064252569175,-0.025813980357337507,-0.007511098834892205,-0.0013374121219666968
2021-01-19,0.005427349062144371,0.005318518294228358,0.03290659771071969,-0.004327672549363726,-0.0039015477903523443,0.017822670641756355,0.01288948767059983,-0.008754858552870282,0.0003471545659841091
2021-01-20,0.03285586912889138,0.04570048462239673,0.05357324051252599,-0.014995900380097349,0.0035046116700661045,0.036499721638923344,0.026141566481088896,-0.012500122112390821,0.021571052284310666
