ClaimID,PolicyID,ClaimDate,ClaimAmount
sdv-id-ngVywx,sdv-id-VTQyQF,2023-01-01 00:00:00,1417.8
sdv-id-MnQMaH,sdv-id-dQeZDD,2023-01-01 00:00:00,1443.6
sdv-id-xvQNyR,sdv-id-OQpXrz,2023-01-01 00:00:00,1040.8
sdv-id-AVPNov,sdv-id-bCATmv,2023-01-01 00:00:00,1062.27
sdv-id-EDbSAD,sdv-id-ZdFUmz,2023-01-01 00:00:00,1152.35
sdv-id-YDyEsN,sdv-id-kBrVsa,2023-01-01 00:00:00,1197.97
sdv-id-TCTCXr,sdv-id-wYYRVd,2023-01-01 00:00:00,1500.99
sdv-id-lPWNVK,sdv-id-lwIyxB,2023-01-01 00:00:00,1108.32
sdv-id-eIzGAC,sdv-id-lWGojH,2023-01-01 00:00:00,1206.99
sdv-id-dIbHyy,sdv-id-rOQvyJ,2023-01-01 00:00:00,1308.33
sdv-id-BKBrdR,sdv-id-krmgew,2023-01-01 00:00:00,1307.85
sdv-id-lmrUEZ,sdv-id-fDsQQU,2023-01-01 00:00:00,1328.3
sdv-id-ZxyXOF,sdv-id-JzpesX,2023-01-01 00:00:00,1198.29
sdv-id-hknOUX,sdv-id-wFSqmF,2023-01-01 00:00:00,1355.83
sdv-id-yOjzqh,sdv-id-QJfZvb,2023-01-01 00:00:00,1300.07
sdv-id-ntItfK,sdv-id-UysRPu,2023-01-01 00:00:00,1232.23
sdv-id-wBRhTP,sdv-id-PWsRrO,2023-01-01 00:00:00,1143.36
sdv-id-fnjAoC,sdv-id-UnFnxS,2023-01-01 00:00:00,1166.73
sdv-id-sFQmNF,sdv-id-RTiKeI,2023-01-01 00:00:00,1318.66
sdv-id-eUuxcq,sdv-id-CCtZMW,2023-01-01 00:00:00,1176.75
sdv-id-YTexqf,sdv-id-zobiYk,2023-01-01 00:00:00,1473.37
sdv-id-WNClQB,sdv-id-uxCfrw,2023-01-01 00:00:00,1416.0
sdv-id-LQPYGg,sdv-id-SBGWqB,2023-01-01 00:00:00,881.88
sdv-id-cvdsrj,sdv-id-fedhZn,2023-01-01 00:00:00,1368.1
sdv-id-lLEgjW,sdv-id-mamWEP,2023-01-01 00:00:00,1425.31
sdv-id-StpDHY,sdv-id-zLlFEm,2023-01-01 00:00:00,1362.29
sdv-id-tbOyRb,sdv-id-YPpSBm,2023-01-01 00:00:00,1332.87
sdv-id-LSJnWa,sdv-id-cqFqFo,2023-01-01 00:00:00,1457.05
sdv-id-lYleGo,sdv-id-bUJHno,2023-01-01 00:00:00,1126.88
sdv-id-epJKBA,sdv-id-NlJkUl,2023-01-01 00:00:00,876.67
sdv-id-DrtobO,sdv-id-LzVtcN,2023-01-01 00:00:00,1422.55
sdv-id-mAryay,sdv-id-KeUzLJ,2023-01-01 00:00:00,1178.57
sdv-id-dMLhYd,sdv-id-yYtjqN,2023-01-01 00:00:00,1471.59
sdv-id-OaoORA,sdv-id-IaCCvO,2023-01-01 00:00:00,1500.99
sdv-id-RGlnDW,sdv-id-RtkbzG,2023-01-01 00:00:00,1041.66
sdv-id-XGWmEA,sdv-id-cuXDjx,2023-01-01 00:00:00,1210.85
sdv-id-vxqWKW,sdv-id-GcafzQ,2023-01-01 00:00:00,1253.56
sdv-id-gZkRJW,sdv-id-NSNIXN,2023-01-01 00:00:00,945.0
sdv-id-BZNAmF,sdv-id-BiDNSS,2023-01-01 00:00:00,1019.03
sdv-id-ikxant,sdv-id-zWTeqs,2023-01-01 00:00:00,1094.87
sdv-id-kbxOMe,sdv-id-JCWiMQ,2023-01-01 00:00:00,948.11
sdv-id-xfhttc,sdv-id-mvvRJw,2023-01-01 00:00:00,1285.97
sdv-id-QXDgIU,sdv-id-gdTGbj,2023-01-01 00:00:00,1115.87
sdv-id-gPYida,sdv-id-mTrxCN,2023-01-01 00:00:00,1289.2
sdv-id-BTHOph,sdv-id-TcGgkN,2023-01-01 00:00:00,1324.15
sdv-id-brUdHb,sdv-id-eQCHFP,2023-01-01 00:00:00,1265.35
sdv-id-aNzeMU,sdv-id-mRFGtF,2023-01-01 00:00:00,1304.41
sdv-id-mFUWll,sdv-id-vBltjx,2023-01-01 00:00:00,1391.23
sdv-id-xRecnO,sdv-id-YXmthv,2023-01-01 00:00:00,1041.23
