TransactionID,CustomerID,TransactionDate,Amount,Category,RiskScore,ClaimApproved
sdv-id-ICCrKP,sdv-id-ttsVHZ,2023-04-29,118.70947648666166,Health,11.820802852341458,True
sdv-id-neCYKk,sdv-id-PqrJfj,2023-02-14,44.583925594925844,Travel,4.409947367448802,True
sdv-id-xHgNYz,sdv-id-mlYpPD,2023-03-28,86.65963028664048,Health,8.615595184750347,True
sdv-id-ryBWWY,sdv-id-LZJZmM,2023-03-06,64.7159973895147,Travel,6.420804598136862,False
sdv-id-XFiQnS,sdv-id-NjqoNH,2023-02-22,52.956363755296756,Food,5.246376432702244,True
sdv-id-cDJtjy,sdv-id-SiucWE,2023-03-12,71.21463522022546,Travel,7.070899324061944,True
sdv-id-pFifIY,sdv-id-VvccAE,2023-01-29,29.35451582316235,Health,2.8830938203213385,False
sdv-id-FjlPaJ,sdv-id-MfKoKr,2023-02-08,39.42553848845053,Health,3.8902663394262813,True
sdv-id-fEBbFu,sdv-id-FVWkwP,2023-03-25,83.6435346634185,Food,8.317811466241553,False
sdv-id-npAuXB,sdv-id-FIIWjM,2023-03-23,81.95026531640538,Travel,8.146085902807037,False
sdv-id-XUPkeK,sdv-id-QWzeOt,2023-03-28,86.71912868369412,Travel,8.62155079649564,False
sdv-id-rUjFNB,sdv-id-mlEkMN,2023-03-01,59.91215952652591,Health,5.944328240062154,True
sdv-id-ciiVoi,sdv-id-pucIEm,2023-03-03,62.45245658638139,Health,6.191848839525702,True
sdv-id-nTEYtA,sdv-id-VzefNL,2023-04-13,102.66709811190624,Health,10.2175085270333,True
sdv-id-pJQzxP,sdv-id-aQANgS,2023-01-20,20.14566902165341,Food,1.9657360475851355,True
sdv-id-XqvmFO,sdv-id-ESreRm,2023-05-11,131.40207659013018,Food,13.089296834624143,False
sdv-id-brwQri,sdv-id-GHKMvb,2023-05-21,140.7767047988466,Health,14.025434844390066,False
sdv-id-cgczVX,sdv-id-YLIPRj,2023-03-06,64.93712993084178,Health,6.442231104002976,False
sdv-id-fIwUZF,sdv-id-ajQzVT,2023-03-05,64.08038049094664,Travel,6.356672880974457,True
sdv-id-bGbuKZ,sdv-id-YQMpZz,2023-01-01,0.5,Travel,0.0,False
sdv-id-NKurxW,sdv-id-mPEVCd,2023-01-10,9.656247959582615,Food,0.9149469666599837,True
sdv-id-BfEPDq,sdv-id-qxdTUU,2023-01-22,21.680701449124584,Travel,2.1177244001919586,False
sdv-id-FpupKg,sdv-id-FTALTE,2023-01-01,0.5,Health,0.0,False
sdv-id-HekSTV,sdv-id-GLieCJ,2023-02-17,47.67770098163726,Food,4.7210777658172685,True
sdv-id-aTjUxx,sdv-id-cginOf,2023-04-11,100.56689748381358,Food,10.009053730183311,False
sdv-id-YqHthk,sdv-id-hUXpwk,2023-01-01,0.5,Travel,0.0,False
sdv-id-tZctmP,sdv-id-OfmJzc,2023-05-09,129.10714984416322,Food,12.862219542335342,True
sdv-id-KqhRUa,sdv-id-oMaWjF,2023-01-18,18.10309995113341,Travel,1.7583242659445197,True
sdv-id-GaGSUq,sdv-id-FHjOIC,2023-05-07,127.48338151174329,Food,12.696312123459387,False
sdv-id-TCpDGB,sdv-id-YIHsxV,2023-03-04,62.53208059037793,Food,6.202819425529946,False
sdv-id-LOkAZQ,sdv-id-mPPGWJ,2023-04-28,118.24775655458522,Health,11.778379993780625,False
sdv-id-qsWSSt,sdv-id-EnPLgp,2023-01-25,25.39723564760819,Health,2.494986109785658,True
sdv-id-wZvZMF,sdv-id-elFwdM,2023-05-25,144.59173735896235,Food,14.408781692475568,False
sdv-id-NVSurs,sdv-id-vMiPlr,2023-01-12,11.926423515810733,Food,1.1424161920797609,True
sdv-id-BcnMhm,sdv-id-rxNNlk,2023-03-20,78.68552049383892,Food,7.819107486417351,False
sdv-id-VNmzoY,sdv-id-fywuuJ,2023-05-05,125.2111842516989,Travel,12.472928060924872,True
sdv-id-gQvWEQ,sdv-id-aouGoO,2023-05-30,149.5,Health,14.9,False
sdv-id-CbcKqk,sdv-id-jqgRxL,2023-04-01,91.1305111276199,Travel,9.060617989474249,False
sdv-id-ujLlrK,sdv-id-wJLidS,2023-04-14,103.78910179331804,Food,10.327325714750275,True
sdv-id-uUazeh,sdv-id-vxlUkI,2023-04-11,101.31777129872671,Health,10.085726918215038,False
sdv-id-NPovoX,sdv-id-miZbWe,2023-05-30,149.5,Travel,14.9,True
sdv-id-ztGBmV,sdv-id-hUUfcl,2023-02-22,52.620076603924986,Health,5.214093613292363,False
sdv-id-jFhyEA,sdv-id-DjkpIY,2023-01-01,0.5,Food,0.0,True
sdv-id-oYDbeY,sdv-id-hyKuVt,2023-01-01,0.5,Travel,0.0,False
sdv-id-XrYoEp,sdv-id-qLLIkk,2023-02-27,58.184587730479294,Travel,5.768836678893352,False
sdv-id-QgYWvu,sdv-id-sDcSdc,2023-02-27,58.44204602312428,Health,5.794874850204167,True
sdv-id-WEjhbc,sdv-id-oHXEic,2023-04-29,119.2973401840369,Travel,11.881883401562154,False
sdv-id-IyIXIs,sdv-id-IcWLqC,2023-05-30,149.5,Travel,14.9,True
sdv-id-RTVytf,sdv-id-hzkjKZ,2023-03-05,64.35920063436737,Travel,6.385270558538108,True
sdv-id-IEvNYq,sdv-id-jtrJkw,2023-01-19,18.768554002416707,Health,1.8275268303023662,False
sdv-id-ipwRkm,sdv-id-gMwEVy,2023-03-27,85.72202712698606,Health,8.522290387978014,False
sdv-id-MMvUJH,sdv-id-QUygDd,2023-01-21,21.46975648426092,Travel,2.0961873411573366,True
sdv-id-CsQOih,sdv-id-ZxFYPP,2023-03-30,88.7126332924475,Food,8.822961201150196,False
sdv-id-kaIfIe,sdv-id-jzoBzz,2023-03-12,70.69322052400219,Food,7.014761404661609,True
sdv-id-cjvtqB,sdv-id-AarBUB,2023-01-24,23.856330305121382,Food,2.334132944655458,False
sdv-id-gTrCKE,sdv-id-oQnqoU,2023-02-14,44.87409825270654,Travel,4.437781009330504,False
sdv-id-uvjcYz,sdv-id-dfdiwJ,2023-02-06,36.64258212529132,Food,3.616087817262554,False
sdv-id-nUGvxl,sdv-id-ZmOklf,2023-04-08,98.18130872714083,Health,9.766288851722033,False
sdv-id-rXUwle,sdv-id-YXFArz,2023-05-11,131.11428223453433,Health,13.059339634326001,False
sdv-id-CNESOt,sdv-id-boXkEz,2023-03-27,85.53156529422054,Health,8.504833972739302,True
sdv-id-PdzWiE,sdv-id-XRmMLp,2023-04-21,110.73315931887205,Food,11.022513762458631,True
sdv-id-kfLKyb,sdv-id-qFTnTZ,2023-01-01,0.5,Travel,0.0,True
sdv-id-ASrvvZ,sdv-id-azRuvB,2023-03-28,86.94061423090382,Travel,8.642725715385719,False
sdv-id-HsuASF,sdv-id-oHBACE,2023-04-28,117.868821504106,Health,11.739704453366137,False
sdv-id-gIHETd,sdv-id-PDyvJS,2023-02-08,38.78000588071781,Health,3.8258524482905596,False
sdv-id-xMEwAM,sdv-id-ItLbKe,2023-05-08,128.35404614049384,Food,12.789676657226861,False
sdv-id-hRJLwQ,sdv-id-WCfkMI,2023-04-03,92.98024975857388,Travel,9.250724836893518,True
sdv-id-OYtLAo,sdv-id-qrWihD,2023-05-01,121.30338846540641,Travel,12.079981991257103,True
sdv-id-qHpJst,sdv-id-rETMmi,2023-04-10,100.1526592567994,Travel,9.967161207003457,False
sdv-id-vAlPeZ,sdv-id-Sdggfr,2023-02-25,55.92623383842797,Travel,5.544903556477152,False
sdv-id-cfoHoY,sdv-id-vubqLj,2023-02-28,59.176720430260666,Food,5.867933059114474,False
sdv-id-QYYxvd,sdv-id-YmkpkR,2023-03-12,71.19900758122303,Health,7.073393108469798,True
sdv-id-dcxvmd,sdv-id-hCBvgQ,2023-02-01,32.25812650491156,Health,3.1760865288272973,False
sdv-id-MjOcYy,sdv-id-uFNEuE,2023-04-28,118.25308750248357,Travel,11.776444894112288,False
sdv-id-hkEqiZ,sdv-id-NyADpl,2023-04-06,96.24456944388714,Travel,9.5731839449952,True
sdv-id-kLgoum,sdv-id-vKMgIV,2023-03-25,84.46593999806711,Health,8.394881778967136,False
sdv-id-lwizYB,sdv-id-DMmbFS,2023-01-26,26.31437483928091,Travel,2.580065200694013,False
sdv-id-DvRjtM,sdv-id-vsGpWV,2023-03-18,76.97749882454836,Travel,7.646402165952522,False
sdv-id-cZGMrS,sdv-id-aXSNjD,2023-03-13,72.26554184126671,Travel,7.1734052725342545,True
sdv-id-uwdVVh,sdv-id-IBYcyw,2023-04-23,112.7393390162813,Food,11.223652418476053,False
sdv-id-ttKWWh,sdv-id-Dywsdq,2023-03-15,73.80166728421477,Health,7.330944358540852,True
sdv-id-BawoWx,sdv-id-ZmCTkv,2023-02-08,39.37963451791888,Travel,3.8877829488823736,False
sdv-id-KeQiVu,sdv-id-ReVqbW,2023-01-26,25.552531475825084,Food,2.5069048512856247,False
sdv-id-XSuaaV,sdv-id-TyOxsm,2023-04-04,93.72005674955146,Health,9.322338376804101,True
sdv-id-QPcwiq,sdv-id-NnCrFB,2023-02-25,56.26239402944286,Food,5.577762827857995,False
sdv-id-PcgvsF,sdv-id-bbEWNw,2023-02-18,48.75114970297852,Food,4.825132293502987,False
sdv-id-SsCGGd,sdv-id-BlzgYi,2023-01-27,27.00404137186564,Health,2.6496079115062736,False
sdv-id-KkNcXa,sdv-id-MlGpfA,2023-05-12,131.93925764659946,Food,13.141701904710718,False
